ProjectCode,ProjectName,ReportMonth,State,Agency,OriginalCost,RevisedCost,Expenditure,Physical Progress,CostOverrunProbability,TimeOverrunProbability,CostWarning,TimeWarning,IndicatorScore,OverallRiskScore,RiskLevel,AlertType,RecommendedAction
619152,Bakhtiyarpur Km 153.300 to Mokama Km 197.900,2026-05,Bihar,National Highways Authority of India [NHAI],1182.94,1898.84,843.24,99.95,0.925766,0.77755505,True,True,50.025,82.53132263183593,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
619073,4L of 42.000 to km 80.00 of Dodaballapur Bypass to Hoskote section of NH-648 Old NH-207 [Bangalore Ring Road Pkg 2],2026-05,Karnataka,National Highways Authority of India [NHAI],1317.74,1846.52,1028.28,99.2,0.9155355,0.8480091,True,True,25.4,80.37475830078125,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
618520,4L of km 0.00 to km 42.00 of Dobbaspet to Doddaballapura Bypass section of NH-648 old NH-207] [Bangalore Ring Road Pkg 1],2026-05,Karnataka,National Highways Authority of India [NHAI],1438.74,1786.57,1051.89,99.2,0.9098355,0.8628548,True,True,25.4,80.16054016113281,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
619168,6L access controlled Greenfield highway of Junction of EPE Vill.-Mavikalan to Vill.- Lohadda from Km. 0.000 to Km. 27.000 Pkg-1,2026-05,Uttar Pradesh,National Highways Authority of India [NHAI],1602.48,1497.94,1215.08,99.11,0.862483,0.8844128,True,True,25.445,79.91385693359375,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
618833,Kodinar - Veraval Package VI from km. 221.610 to km. 263.00 of NH-8E & km. 120.900 to km. 121.150 of NH-8D,2026-05,Gujarat,National Highways Authority of India [NHAI],894.01,1127.42,457.06,98.79,0.93175346,0.67086333,True,True,50.605,79.66862322998047,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
619146,Kagvadar - Una Package-IV,2026-05,Gujarat,National Highways Authority of India [NHAI],750.53,955.78,363.42,97.93,0.9158202,0.68820345,True,True,51.035,79.45817510986328,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
619097,Thalassery Mahe Bypass Km 170.600 to Km 189.200 of NH-17New NH-66 in Kerala,2026-05,"Multi-States(Kerala,Puducherry)",National Highways Authority of India [NHAI],1181.12,1573.18,710.24,100.0,0.9273498,0.6679868,True,True,50.0,78.50379943847656,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
618796,Tanot -Ramgarh-Bhadasar-Jaisalmer NH-68 and BhadasarMokal-Sarkaritala up to Pakisthan Border NH-968 Pkg-BM/5,2026-05,Rajasthan,National Highways Authority of India [NHAI],828.58,830.37,405.49,100.0,0.93344045,0.6513796,True,True,50.0,78.49842834472656,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
618850,Nerchowk km 190.000 to Pandoh including Pandoh bypass km221.305,2026-05,Himachal Pradesh,National Highways Authority of India [NHAI],1464.12,1651.67,851.56,100.0,0.8891821,0.67690223,True,True,50.0,77.90425109863281,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
618482,Delhi-Amritsar-Katra Expressway Phase-I Pkg-I from Jussur Kheri on NH-KMP Expressway to Junction with Rohtak-Panipat road NH-709 near Rukhi Paani village Km 0000 to Km 34000,2026-05,Haryana,National Highways Authority of India [NHAI],1866.49,2429.9,1081.56,99.91,0.9066065,0.79456943,True,True,25.045,77.5610712890625,HIGH,COST_AND_TIME,"Immediate multidisciplinary review recommended. Investigate expenditure trajectory, schedule slippage and milestone recovery actions."
