ProjectCode,ProjectName,ReportMonth,OriginalCost,RevisedCost,Expenditure,CurrentExpenditureRatio,RobustCurrentExpenditurePct,RobustCurrentGap,Physical Progress,Prev_Expenditure,Prev_OriginalCost,Prev_RevisedCost,Prev_ExpenditureRatio,Prev_CostGrowth,Prev_PhysicalProgress,Prev_ProgressRemaining,ProgressVelocity,ProjectAgeDays,ElapsedDays,PlannedDurationDays,RemainingPlannedDays,ScheduleElapsedRatio,ProgressScheduleGap,Prev_RobustExpenditurePct,Prev_RobustGap,CurrentGapVsPreviousGap,HasPreviousRevisedCost,HasPreviousRevisedDoc,InvalidPlannedDuration,DateInconsistencyFlag,State,Agency,FutureCostOverrun
400006,"Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb atBarpali.",2026-04-01,808.99,808.99,701.15,0.8666979814336394,86.66979814336393,-48.669798143363934,38.0,,,,,0.0,,,,1643.0,1643.0,1461.0,-182.0,1.1245722108145106,-62.0,,,,0,1,0,0,Odisha,South Eastern Railway [SER] - I,1
400006,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,2026-05-01,808.99,808.99,743.46,0.9189977626423071,91.89977626423071,-51.89977626423071,40.0,701.15,808.99,808.99,0.8666979814336394,0.0,38.0,62.0,2.0,1673.0,1673.0,1461.0,-212.0,1.1451060917180014,-60.0,86.66979814336393,-48.669798143363934,-3.2299781208667753,0,1,0,0,Odisha,South Eastern Railway [SER] - I,0
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",2026-04-01,480.0,640.0,501.81,0.784078125,78.40781249999999,0.4921875000000142,78.9,,,,,0.0,,,,2831.0,2769.0,1096.0,-1673.0,2.5264598540145986,-21.099999999999994,,,,1,1,0,0,Ladakh,Airport Authority of India [AAI],0
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",2026-05-01,480.0,640.0,506.13,0.790828125,79.0828125,0.1171875,79.2,501.81,480.0,640.0,0.784078125,0.0,78.9,21.099999999999994,0.29999999999999716,2861.0,2799.0,1096.0,-1703.0,2.553832116788321,-20.799999999999997,78.40781249999999,0.4921875000000142,-0.3750000000000142,1,1,0,0,Ladakh,Airport Authority of India [AAI],0
400012,Kandla Gorakhpur LPG Pipeline,2026-04-01,10088.0,10088.0,8529.58,0.8455174464710548,84.55174464710548,10.648255352894523,95.2,,,,,0.0,,,,2678.0,2678.0,1096.0,-1582.0,2.4434306569343067,-4.799999999999997,,,,0,1,0,0,"Multi-States(Gujarat, MadhyaPradesh, UttarPradesh)",Ministry of Petroleum & Natural Gas,0
400012,Kandla Gorakhpur LPG Pipeline,2026-05-01,10088.0,10088.0,8585.71,0.8510814829500396,85.10814829500396,10.291851704996049,95.4,8529.58,10088.0,10088.0,0.8455174464710548,0.0,95.2,4.799999999999997,0.20000000000000284,2708.0,2708.0,1096.0,-1612.0,2.4708029197080292,-4.599999999999994,84.55174464710548,10.648255352894523,-0.3564036478984747,0,1,0,0,"Multi-States(Gujarat, MadhyaPradesh, UttarPradesh)",Ministry of Petroleum & Natural Gas,0
400013,Saturation 4G mobile coverage of Uncovered Villages through USOF,2026-05-01,26316.0,15392.8,9791.8,0.636128579595655,63.6128579595655,21.387142040434497,85.0,,,,,0.0,,,,1400.0,1400.0,701.0,-699.0,1.9971469329529243,-15.0,,,,1,1,0,0,PAN India,Department of Telecommunications [DoT],0
400018,HURA C OCP,2026-04-01,859.41,859.41,455.25,0.52972388033651,52.972388033650994,10.247611966349005,63.22,,,,,0.0,,,,1339.0,1339.0,2404.0,1065.0,0.5569883527454242,7.521164725457574,,,,0,0,0,0,Jharkhand,ECL - CIL,0
400018,HURA C OCP,2026-05-01,859.41,859.41,455.25,0.52972388033651,52.972388033650994,10.247611966349005,63.22,455.25,859.41,859.41,0.52972388033651,0.0,63.22,36.78,0.0,1369.0,1369.0,2404.0,1035.0,0.5694675540765392,6.273244592346082,52.972388033650994,10.247611966349005,0.0,0,0,0,0,Jharkhand,ECL - CIL,0
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],2026-04-01,492.76,1170.83,519.29,0.44352297088390286,44.35229708839029,-19.352297088390287,25.0,,,,,0.0,,,,2647.0,1096.0,1340.0,244.0,0.817910447761194,-56.791044776119406,,,,1,1,0,0,Maharashtra,Central Railway,1
400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],2026-05-01,492.76,1170.83,542.26,0.46314153207553616,46.314153207553616,-21.314153207553616,25.0,519.29,492.76,1170.83,0.44352297088390286,0.0,25.0,75.0,0.0,2677.0,1126.0,1340.0,214.0,0.8402985074626865,-59.02985074626865,44.35229708839029,-19.352297088390287,-1.961856119163329,1,1,0,0,Maharashtra,Central Railway,0
