ProjectCode,ReportMonth,ProjectName,OriginalCost,RevisedCost,Expenditure,CurrentExpenditureRatio,RobustCurrentExpenditurePct,Physical Progress,CurrentScheduleDelayDays,CurrentScheduleStatus,Prev_Expenditure,Prev_OriginalCost,Prev_RevisedCost,Prev_ExpenditureRatio,Prev_PhysicalProgress,Prev_ProgressRemaining,ProgressVelocity,ProjectAgeDays,ElapsedDays,PlannedDurationDays,RemainingPlannedDays,ScheduleElapsedRatio,ProgressScheduleGap,Prev_RobustExpenditurePct,ExpenditureChange,CostGrowth,ScheduleDelayChangeDays,HasPreviousRevisedCost,HasPreviousRevisedDoc,HasPreviousTargetDoc,InvalidPlannedDuration,DateInconsistencyFlag,State,Agency,FutureTimeOverrun
400006,2026-04,"Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb atBarpali.",808.99,808.99,701.15,86.66979814336393,86.66979814336393,38.0,-382.0,WithinPlan,,,,,,,,1643.0,1643.0,2025.0,382.0,0.811358024691358,-43.1358024691358,,,,,0,0,0,0,0,Odisha,South Eastern Railway [SER] - I,0
400006,2026-05,Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at Barpali.,808.99,808.99,743.46,91.89977626423071,91.89977626423071,40.0,-352.0,WithinPlan,701.15,808.99,808.99,86.66979814336393,38.0,62.0,2.0,1673.0,1673.0,2025.0,352.0,0.8261728395061728,-42.61728395061728,86.66979814336393,42.31000000000006,0.0,30.0,1,1,1,0,0,Odisha,South Eastern Railway [SER] - I,0
400010,2026-04,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",480.0,640.0,501.81,104.54375,78.40781249999999,78.9,748.0,SeverelyOverdue,,,,,,,,2831.0,2769.0,2021.0,-748.0,1.3701138050470065,-58.111380504700634,,,,,0,0,0,0,0,Ladakh,Airport Authority of India [AAI],0
400010,2026-05,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",480.0,640.0,506.13,105.44375,79.0828125,79.2,778.0,SeverelyOverdue,501.81,480.0,640.0,104.54375,78.9,21.099999999999994,0.29999999999999716,2861.0,2799.0,2021.0,-778.0,1.3849579416130628,-59.29579416130629,78.40781249999999,4.319999999999993,0.0,30.0,1,1,1,0,0,Ladakh,Airport Authority of India [AAI],0
400012,2026-04,Kandla Gorakhpur LPG Pipeline,10088.0,10088.0,8529.58,84.55174464710548,84.55174464710548,95.2,657.0,SeverelyOverdue,,,,,,,,2678.0,2678.0,2021.0,-657.0,1.3250865907966354,-37.30865907966354,,,,,0,0,0,0,0,"Multi-States(Gujarat, MadhyaPradesh, UttarPradesh)",Ministry of Petroleum & Natural Gas,0
400012,2026-05,Kandla Gorakhpur LPG Pipeline,10088.0,10088.0,8585.71,85.10814829500396,85.10814829500396,95.4,687.0,SeverelyOverdue,8529.58,10088.0,10088.0,84.55174464710548,95.2,4.799999999999997,0.20000000000000284,2708.0,2708.0,2021.0,-687.0,1.3399307273626917,-38.593072736269164,84.55174464710548,56.1299999999992,0.0,30.0,1,1,1,0,0,"Multi-States(Gujarat, MadhyaPradesh, UttarPradesh)",Ministry of Petroleum & Natural Gas,0
400013,2026-05,Saturation 4G mobile coverage of Uncovered Villages through USOF,26316.0,15392.8,9791.8,37.20854233166134,63.6128579595655,85.0,-624.0,WithinPlan,,,,,,,,1400.0,1400.0,2024.0,624.0,0.691699604743083,15.830039525691703,,,,,0,0,0,0,0,PAN India,Department of Telecommunications [DoT],0
400018,2026-04,HURA C OCP,859.41,859.41,455.25,52.972388033650994,52.972388033650994,63.22,-690.0,WithinPlan,,,,,,,,1339.0,1339.0,2029.0,690.0,0.6599310004928536,-2.773100049285361,,,,,0,0,0,0,0,Jharkhand,ECL - CIL,0
400018,2026-05,HURA C OCP,859.41,859.41,455.25,52.972388033650994,52.972388033650994,63.22,-660.0,WithinPlan,455.25,859.41,859.41,52.972388033650994,63.22,36.78,0.0,1369.0,1369.0,2029.0,660.0,0.6747166091670774,-4.251660916707749,52.972388033650994,0.0,0.0,30.0,1,0,1,0,0,Jharkhand,ECL - CIL,0
400019,2026-04,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],492.76,1170.83,519.29,105.38395973699164,44.35229708839029,25.0,-930.0,WithinPlan,,,,,,,,2647.0,1096.0,2026.0,930.0,0.5409674234945706,-29.09674234945706,,,,,0,0,0,0,0,Maharashtra,Central Railway,0
