ProjectCode,ReportMonth,State,OriginalCost,RevisedCost,Expenditure,Physical Progress,Agency,DateInconsistency,ProjectAgeDays,ApprovalToStartDays,CurrentExpenditureRatio,RobustCurrentExpenditurePct,RobustCurrentGap,HasRevisedCost,HasRevisedDoc,ProgressVelocity,ProgressScheduleGap,ExpenditureProgressGap,CostGrowth,ScheduleElapsedRatio,RemainingPlannedDays,ElapsedDays,PlannedDurationDays,ProgressBehindSchedule10,ProgressBehindSchedule20,ProgressBehindSchedule30,NegativeProgressVelocity,NoProgress,LateStageLowProgress,ExpenditureAhead10,ExpenditureAhead20,ExpenditureAhead30,OverallRiskEvent
400006,2026-04-01,Odisha,808.99,808.99,701.15,38.0,South Eastern Railway [SER] - I,False,1643.0,0.0,86.66979814336393,86.66979814336393,-48.669798143363934,0,1,,,48.669798143363934,,,-1643.0,1643.0,0.0,0,0,0,0,0,0,1,1,1,1
400010,2026-04-01,Ladakh,480.0,640.0,501.81,78.9,Airport Authority of India [AAI],False,2769.0,62.0,78.40781249999999,78.40781249999999,0.4921875000000142,1,1,,-121.1,-0.4921875000000142,,2.0,-2707.0,2769.0,62.0,1,1,1,0,0,0,0,0,0,0
400012,2026-04-01,"Multi-States(Gujarat, MadhyaPradesh, UttarPradesh)",10088.0,10088.0,8529.58,95.2,Ministry of Petroleum & Natural Gas,False,2678.0,0.0,84.55174464710548,84.55174464710548,10.648255352894523,0,1,,,-10.648255352894523,,,-2678.0,2678.0,0.0,0,0,0,0,0,0,0,0,0,0
400018,2026-04-01,Jharkhand,859.41,859.41,455.25,63.22,ECL - CIL,False,1339.0,0.0,52.972388033650994,52.972388033650994,10.247611966349005,0,0,,,-10.247611966349004,,,-1339.0,1339.0,0.0,0,0,0,0,0,0,0,0,0,0
400019,2026-04-01,Maharashtra,492.76,1170.83,519.29,25.0,Central Railway,False,1096.0,1551.0,44.35229708839029,44.35229708839029,-19.352297088390287,1,1,,-45.66408768536428,19.352297088390287,,0.7066408768536429,455.0,1096.0,1551.0,1,1,1,0,0,0,1,0,0,1
400022,2026-04-01,"Multi-States(Gujarat,Rajasthan)",2798.0,2798.0,2439.32,37.0,North Western Railway [NWR],False,1370.0,0.0,87.18084345961402,87.18084345961402,-50.180843459614024,0,1,,,50.18084345961402,,,-1370.0,1370.0,0.0,0,0,0,0,0,0,1,1,1,1
400023,2026-04-01,Karnataka,749.0,749.0,0.94,0.3,South Western Railway [SWR] - II,True,121.0,2467.0,0.1255006675567423,0.1255006675567423,0.1744993324432577,0,1,,-4.604742602351034,-0.1744993324432577,,0.0490474260235103,2346.0,121.0,2467.0,0,0,0,0,0,0,0,0,0,1
400033,2026-04-01,Maharashtra,580.61,580.61,112.17,33.91,Western Coalfields Limited [WCL],False,1431.0,820.0,19.31933655982501,19.31933655982501,14.590663440174986,0,0,,-140.6021951219512,-14.590663440174986,,1.7451219512195122,-611.0,1431.0,820.0,1,1,1,0,0,1,0,0,0,0
400035,2026-04-01,Tripura,656.0,656.0,537.17,97.0,Indian Oil Corporation Limited [IOCL],False,1400.0,0.0,81.88567073170732,81.88567073170732,15.114329268292678,0,1,,,-15.114329268292678,,,-1400.0,1400.0,0.0,0,0,0,0,0,0,0,0,0,0
400043,2026-04-01,Tamil Nadu,829.0,829.0,350.21,76.2,Ministry of Petroleum & Natural Gas,False,1551.0,0.0,42.24487334137515,42.24487334137515,33.955126658624856,0,1,,,-33.955126658624856,,,-1551.0,1551.0,0.0,0,0,0,0,0,0,0,0,0,1
400045,2026-04-01,Odisha,168.32,168.32,69.85,82.0,East Coast Railway [ECoR] - II,True,1370.0,-31.0,41.49833650190114,41.49833650190114,40.50166349809886,0,1,,,-40.50166349809886,,,-1401.0,1370.0,-31.0,0,0,0,0,0,0,0,0,0,0
400047,2026-04-01,Odisha,210.0,210.0,39.31,52.0,East Coast Railway [ECoR] - II,False,1400.0,-61.0,18.719047619047622,18.719047619047622,33.28095238095238,0,1,,,-33.28095238095238,,,-1461.0,1400.0,-61.0,0,0,0,0,0,0,0,0,0,0
400048,2026-04-01,Odisha,186.21,186.21,100.97,88.0,East Coast Railway [ECoR] - II,False,1400.0,-92.0,54.223725900864615,54.223725900864615,33.776274099135385,0,1,,,-33.776274099135385,,,-1492.0,1400.0,-92.0,0,0,0,0,0,0,0,0,0,1
400062,2026-04-01,West Bengal,17673.0,17673.0,1950.25,9.4,Damodar Valley Corporation,False,424.0,762.0,11.03519493011939,11.03519493011939,-1.6351949301193898,0,0,,-46.24304461942258,1.6351949301193898,,0.5564304461942258,338.0,424.0,762.0,1,1,1,0,0,0,0,0,0,0
400073,2026-04-01,Jharkhand,799.34,799.34,433.64,53.47,Ministry of Coal,False,1551.0,0.0,54.2497560487402,54.2497560487402,-0.7797560487402038,0,0,,,0.7797560487402038,,,-1551.0,1551.0,0.0,0,0,0,0,0,0,0,0,0,1
400074,2026-04-01,Jharkhand,908.47,908.47,289.45,23.57,Ministry of Coal,False,1551.0,0.0,31.86126124142789,31.86126124142789,-8.29126124142789,0,0,,,8.29126124142789,,,-1551.0,1551.0,0.0,0,0,0,0,0,0,0,0,0,1
400078,2026-04-01,"Multi-States(Gujarat, Haryana,Rajasthan)",9028.0,9028.0,7160.82,91.4,Ministry of Petroleum & Natural Gas,False,1582.0,0.0,79.31789986708019,79.31789986708019,12.08210013291982,0,1,,,-12.08210013291982,,,-1582.0,1582.0,0.0,0,0,0,0,0,0,0,0,0,1
400081,2026-04-01,Manipur,906.47,611.74,574.12,97.0,Department of Sports & Youth Affairs,False,1551.0,,93.85032857096152,93.85032857096152,3.1496714290384773,1,1,,,-3.1496714290384773,,,,1551.0,,0,0,0,0,0,0,0,0,0,0
400087,2026-04-01,Gujarat,885.63,1347.61,990.06,87.5,Oil and Natural Gas Corporation Limited [ONGC],False,1704.0,0.0,73.4678430703245,73.4678430703245,14.032156929675494,1,1,,,-14.032156929675494,,,-1704.0,1704.0,0.0,0,0,0,0,0,0,0,0,0,0
400100,2026-04-01,Andhra Pradesh,353.05,1023.24,872.65,95.88,Water Resources-AP,False,7395.0,275.0,85.28302255580313,85.28302255580313,10.596977444196867,1,1,,-104.12,-10.596977444196868,,2.0,-7120.0,7395.0,275.0,1,1,1,0,0,0,0,0,0,0
400101,2026-04-01,Andhra Pradesh,397.41,697.39,619.46,98.3,Water Resources-AP,False,7670.0,0.0,88.82547785313814,88.82547785313814,9.474522146861858,1,1,,,-9.474522146861858,,,-7670.0,7670.0,0.0,0,0,0,0,0,0,0,0,0,0
400102,2026-04-01,Telangana,736.13,949.87,971.47,97.0,Irrigation and CAD-TG,False,7670.0,3287.0,102.27399538884268,100.0,-3.0,1,1,,-103.0,5.273995388842678,,2.0,-4383.0,7670.0,3287.0,1,1,1,0,0,0,0,0,0,0
400103,2026-04-01,Telangana,1331.3,5940.09,4491.08,92.0,Irrigation and CAD-TG,False,7395.0,3562.0,75.60626185798532,75.60626185798532,16.393738142014683,1,1,,-108.0,-16.393738142014683,,2.0,-3833.0,7395.0,3562.0,1,1,1,0,0,0,0,0,0,0
400111,2026-04-01,Chhattisgarh,459.97,727.04,618.85,72.0,Water Resources-CT,False,6574.0,0.0,85.11911311619718,85.11911311619718,-13.119113116197184,1,1,,,13.119113116197184,,,-6574.0,6574.0,0.0,0,0,0,0,0,0,1,0,0,0
