project_id,project_name,ministry,sector,state,implementing_agency,original_cost,revised_cost,cumulative_expenditure,planned_duration_months,elapsed_months,expected_delay_months,physical_progress,expected_progress,financial_progress,previous_physical_progress,progress_change,previous_expenditure,expenditure_change,total_milestones,completed_milestones,delayed_milestones,progress_gap,cost_overrun_percent,time_overrun_percent,cost_overrun,time_overrun,risk_score,risk_level
PRJ-00001,Infrastructure Project 00001,Ministry of Jal Shakti,Mining,Gujarat,Infrastructure Development Authority,18820.82,20123.17,10683.23,47,5,0.0,14.98,10.64,53.2,11.78,3.2,10608.45,74.78,25,11,1,-4.34,6.92,0.0,0,0,5.86,Low
PRJ-00002,Infrastructure Project 00002,Ministry of Road Transport,Communication,Maharashtra,Infrastructure Development Authority,25784.59,26302.54,21281.61,83,16,0.4,26.66,19.28,85.66,19.99,6.67,20728.19,553.42,25,14,0,-7.38,2.01,0.48,0,0,10.3,Low
PRJ-00003,Infrastructure Project 00003,Ministry of Road Transport,Communication,Telangana,Infrastructure Development Authority,37804.77,40214.7,16480.12,97,64,2.97,67.09,65.98,43.35,62.77,4.32,15029.66,1450.46,19,7,0,-1.11,6.37,3.06,0,0,12.55,Low
PRJ-00004,Infrastructure Project 00004,Ministry of Road Transport,Mining,Madhya Pradesh,State Government Agency,13908.56,14740.21,4197.87,86,13,6.55,4.59,15.12,31.79,0.0,4.59,3914.86,283.01,7,6,1,10.53,5.98,7.62,0,0,22.63,Low
PRJ-00005,Infrastructure Project 00005,Ministry of Housing,Steel,Uttar Pradesh,Infrastructure Development Authority,33491.74,36850.43,30488.93,26,3,0.0,17.81,11.54,79.66,14.3,3.51,29566.4,922.53,18,8,0,-6.27,10.03,0.0,1,0,8.31,Low
PRJ-00006,Infrastructure Project 00006,Ministry of Housing,Energy,Madhya Pradesh,Infrastructure Development Authority,28229.29,29022.58,23342.36,94,61,6.38,64.59,64.89,73.02,61.26,3.33,20249.69,3092.68,14,5,1,0.3,2.81,6.79,0,0,7.43,Low
PRJ-00007,Infrastructure Project 00007,Ministry of Jal Shakti,Transport & Logistics,Uttar Pradesh,Public Sector Undertaking,17911.45,19053.2,5598.31,93,74,0.0,100.0,79.57,26.05,98.25,1.75,5129.64,468.66,5,3,0,-20.43,6.37,0.0,0,0,6.53,Low
PRJ-00008,Infrastructure Project 00008,Ministry of Housing,Social Infrastructure,Rajasthan,Public Sector Undertaking,48128.0,50131.88,26953.48,25,30,1.63,100.0,100.0,59.48,98.1,1.9,24009.28,2944.19,6,1,0,0.0,4.16,6.52,0,0,12.34,Low
PRJ-00009,Infrastructure Project 00009,Ministry of Road Transport,Water & Sanitation,Telangana,Central Government Agency,31731.46,32591.95,2692.75,43,38,1.38,84.76,88.37,10.94,81.66,3.09,2314.39,378.36,23,6,0,3.62,2.71,3.22,0,0,7.68,Low
PRJ-00010,Infrastructure Project 00010,Ministry of Road Transport,Mining,Rajasthan,State Government Agency,5806.66,7328.41,1784.33,71,14,14.54,13.67,19.72,28.43,6.82,6.85,1676.07,108.27,27,2,0,6.05,26.21,20.48,1,1,35.06,Medium
PRJ-00011,Infrastructure Project 00011,Ministry of Communications,Water & Sanitation,Uttar Pradesh,Infrastructure Development Authority,46791.4,57017.89,47263.9,41,48,12.09,100.0,100.0,79.14,94.03,5.97,42658.27,4605.63,20,3,1,0.0,21.86,29.5,1,1,22.69,Low
PRJ-00012,Infrastructure Project 00012,Ministry of Road Transport,Mining,Uttar Pradesh,Infrastructure Development Authority,28480.18,34879.75,12712.91,77,10,11.22,11.68,12.99,39.58,9.43,2.25,12666.54,46.37,5,0,0,1.31,22.47,14.57,1,1,19.85,Low
PRJ-00013,Infrastructure Project 00013,Ministry of Steel,Steel,Maharashtra,State Government Agency,47031.86,53497.39,15276.67,108,34,2.77,36.95,31.48,31.71,36.17,0.78,13867.38,1409.29,22,21,0,-5.47,13.75,2.57,1,0,22.44,Low
PRJ-00014,Infrastructure Project 00014,Ministry of Railways,Steel,Tamil Nadu,Public Sector Undertaking,25988.73,28421.39,8096.5,49,37,6.52,60.76,75.51,20.68,55.38,5.38,7697.97,398.53,11,11,4,14.75,9.36,13.31,0,1,43.81,Medium
PRJ-00015,Infrastructure Project 00015,Ministry of Communications,Water & Sanitation,Telangana,Public Sector Undertaking,43041.17,49546.51,40737.22,91,8,12.3,0.0,8.79,82.3,0.0,0.0,35878.16,4859.05,19,15,1,8.79,15.11,13.52,1,1,24.27,Low
PRJ-00016,Infrastructure Project 00016,Ministry of Coal,Steel,Uttar Pradesh,Public Sector Undertaking,4061.05,4270.0,1068.33,71,3,15.31,4.83,4.23,31.35,4.71,0.12,1049.73,18.6,27,25,0,-0.6,5.15,21.56,0,1,15.31,Low
PRJ-00017,Infrastructure Project 00017,Ministry of Housing,Mining,Madhya Pradesh,Public Sector Undertaking,42794.71,45160.06,8515.45,117,103,11.81,70.69,88.03,24.67,65.42,5.27,8307.33,208.12,9,2,2,17.35,5.53,10.09,0,1,28.74,Low
PRJ-00018,Infrastructure Project 00018,Ministry of Railways,Coal,Maharashtra,State Government Agency,1471.59,1766.69,736.01,74,45,5.67,62.68,60.81,39.23,60.13,2.55,642.73,93.28,5,4,1,-1.87,20.05,7.66,1,0,23.76,Low
PRJ-00019,Infrastructure Project 00019,Ministry of Power,Transport & Logistics,Uttar Pradesh,Central Government Agency,14200.46,17669.85,12241.4,59,12,13.94,0.0,20.34,61.61,0.0,0.0,10882.77,1358.63,7,5,4,20.34,24.43,23.63,1,1,52.55,Medium
PRJ-00020,Infrastructure Project 00020,Ministry of Housing,Transport & Logistics,Madhya Pradesh,Central Government Agency,25336.83,25598.53,19821.09,99,11,4.82,7.66,11.11,83.05,5.96,1.7,17007.9,2813.19,24,14,0,3.45,1.03,4.87,0,0,17.09,Low
PRJ-00021,Infrastructure Project 00021,Ministry of Coal,Communication,Tamil Nadu,State Government Agency,46556.82,52405.99,11951.77,32,29,2.89,85.41,90.62,23.97,82.42,2.99,11287.3,664.47,9,7,0,5.21,12.56,9.02,1,0,16.41,Low
PRJ-00022,Infrastructure Project 00022,Ministry of Steel,Energy,Telangana,Central Government Agency,21297.47,23340.86,2218.38,115,74,1.26,66.3,64.35,5.37,63.3,3.0,2123.3,95.07,5,0,1,-1.95,9.59,1.1,0,0,15.2,Low
PRJ-00023,Infrastructure Project 00023,Ministry of Jal Shakti,Social Infrastructure,Bihar,Public Sector Undertaking,48498.46,50507.44,24904.38,43,20,8.36,38.56,46.51,46.53,31.35,7.21,24734.61,169.77,19,2,1,7.95,4.14,19.44,0,1,21.34,Low
