ProjectCode,ProjectName,ReportMonth,ActualOutcome,PredictedRisk,Feature,SHAPValue,Impact,Rank
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,numeric__PlannedDurationDays,-0.810539,Decreases Risk,1
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,numeric__RobustCurrentExpenditurePct,0.359051,Increases Risk,2
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,numeric__ElapsedDays,-0.324336,Decreases Risk,3
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,numeric__CurrentExpenditureRatio,0.291408,Increases Risk,4
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,numeric__ProjectAgeDays,0.188803,Increases Risk,5
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,numeric__missingindicator_Prev_Expenditure,-0.178082,Decreases Risk,6
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,categorical__Agency_National Highways Authority of India [NHAI],-0.162633,Decreases Risk,7
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,numeric__Prev_RobustGap,-0.15944,Decreases Risk,8
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,categorical__State_Telangana,-0.108737,Decreases Risk,9
400103,Indiramma Flood Flow Canal Project,2026-04-01,0,0.1115,numeric__RevisedCost,0.105921,Increases Risk,10
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__PlannedDurationDays,-1.331378,Decreases Risk,1
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,categorical__Agency_National Highways Authority of India [NHAI],-0.447921,Decreases Risk,2
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__ElapsedDays,-0.402069,Decreases Risk,3
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__Prev_RobustGap,0.315869,Increases Risk,4
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__RobustCurrentExpenditurePct,0.256907,Increases Risk,5
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__CurrentExpenditureRatio,0.223585,Increases Risk,6
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__Prev_ExpenditureRatio,-0.210575,Decreases Risk,7
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__missingindicator_Prev_Expenditure,0.161861,Increases Risk,8
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__ProjectAgeDays,0.14953,Increases Risk,9
400103,Indiramma Flood Flow Canal Project,2026-05-01,0,0.0697,numeric__RemainingPlannedDays,0.111145,Increases Risk,10
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__HasPreviousRevisedDoc,-0.343092,Decreases Risk,1
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__CurrentExpenditureRatio,0.213848,Increases Risk,2
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__missingindicator_Prev_Expenditure,-0.182593,Decreases Risk,3
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__RobustCurrentExpenditurePct,0.164218,Increases Risk,4
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,categorical__Agency_National Highways Authority of India [NHAI],-0.15999,Decreases Risk,5
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__Prev_RobustGap,-0.134726,Decreases Risk,6
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__Physical Progress,0.131776,Increases Risk,7
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__RobustCurrentGap,-0.096702,Decreases Risk,8
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__Expenditure,0.077703,Increases Risk,9
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04-01,0,0.1397,numeric__RemainingPlannedDays,-0.065203,Decreases Risk,10
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,categorical__Agency_National Highways Authority of India [NHAI],-0.393222,Decreases Risk,1
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__HasPreviousRevisedDoc,-0.320981,Decreases Risk,2
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__CurrentExpenditureRatio,0.208244,Increases Risk,3
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__Physical Progress,0.191628,Increases Risk,4
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__missingindicator_Prev_Expenditure,0.160954,Increases Risk,5
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__RobustCurrentExpenditurePct,0.1592,Increases Risk,6
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",2026-05-01,0,0.2031,numeric__ProgressVelocity,-0.14408,Decreases Risk,7
