ProjectCode,ProjectName,ReportMonth,OverallRiskProbability,OverallRiskPrediction,TopFactor1,TopFactor1_SHAP,TopFactor2,TopFactor2_SHAP,TopFactor3,TopFactor3_SHAP,TopFactor4,TopFactor4_SHAP,TopFactor5,TopFactor5_SHAP,RiskExplanation
617270,,2026-05-01,0.115567,0,Physical Progress,-0.72966,Agency_National Highways Authority of India [NHAI],-0.396607,CurrentExpenditureRatio,-0.35818,NoProgress,0.305504,ExpenditureProgressGap,-0.25725,NoProgress; ProgressVelocity; OriginalCost
617183,,2026-05-01,0.261745,0,ProgressVelocity,0.791028,HasRevisedDoc,-0.40756,Agency_National Highways Authority of India [NHAI],-0.344424,OriginalCost,-0.264799,Physical Progress,-0.173145,ProgressVelocity; RobustCurrentGap; Agency_Power Grid Corporation of India Limited [POWERGRID]
619049,,2026-04-01,0.27543,0,Expenditure,0.557477,ExpenditureProgressGap,-0.360871,HasRevisedDoc,-0.325151,RobustCurrentGap,-0.219951,ProgressVelocity,-0.203961,Expenditure; CurrentExpenditureRatio; Physical Progress
400180,,2026-05-01,0.168062,0,Agency_National Highways Authority of India [NHAI],-0.474156,Physical Progress,-0.402659,ExpenditureProgressGap,-0.350719,NoProgress,0.333023,RemainingPlannedDays,-0.204884,NoProgress; ProgressVelocity; CurrentExpenditureRatio
618808,,2026-04-01,0.582631,1,Agency_National Highways Authority of India [NHAI],0.857453,Physical Progress,-0.25111,ProgressVelocity,-0.232361,RobustCurrentGap,-0.157521,OriginalCost,-0.128145,Agency_National Highways Authority of India [NHAI]; ProjectAgeDays; State_West Bengal
618341,,2026-04-01,0.456064,1,ProgressVelocity,-0.391889,Agency_National Highways Authority of India [NHAI],-0.379021,CurrentExpenditureRatio,0.27967,ProgressScheduleGap,-0.189877,RemainingPlannedDays,0.158522,CurrentExpenditureRatio; RemainingPlannedDays; ExpenditureProgressGap
703057,,2026-05-01,0.670256,1,ProgressVelocity,0.450319,Agency_National Highways Authority of India [NHAI],-0.357803,Physical Progress,0.31201,NoProgress,0.287846,CurrentExpenditureRatio,0.252506,ProgressVelocity; Physical Progress; NoProgress
617422,,2026-04-01,0.047693,0,CurrentExpenditureRatio,-0.566732,HasRevisedDoc,-0.470261,Agency_National Highways Authority of India [NHAI],-0.40277,ApprovalToStartDays,-0.286996,RobustCurrentExpenditurePct,-0.242534,State_Maharashtra; Expenditure; ProgressBehindSchedule20
618187,,2026-04-01,0.010888,0,CurrentExpenditureRatio,-0.965382,Physical Progress,-0.625717,Agency_National Highways Authority of India [NHAI],-0.508702,ProjectAgeDays,-0.501476,Expenditure,-0.35159,RemainingPlannedDays; ApprovalToStartDays; ProgressBehindSchedule20
618749,,2026-04-01,0.644703,1,Agency_National Highways Authority of India [NHAI],0.850993,ProgressVelocity,-0.431055,Expenditure,0.156411,NoProgress,-0.115585,RemainingPlannedDays,-0.112596,Agency_National Highways Authority of India [NHAI]; Expenditure; HasRevisedDoc
615820,,2026-05-01,0.057076,0,HasRevisedDoc,-0.723646,RevisedCost,-0.664678,Agency_National Highways Authority of India [NHAI],-0.333688,RemainingPlannedDays,-0.300946,RobustCurrentGap,-0.134581,CurrentExpenditureRatio; OriginalCost; ProgressBehindSchedule10
618675,,2026-05-01,0.740471,1,Agency_National Highways Authority of India [NHAI],0.845185,Expenditure,0.119618,ExpenditureProgressGap,0.116701,ProgressVelocity,0.109722,CurrentExpenditureRatio,0.107689,Agency_National Highways Authority of India [NHAI]; Expenditure; ExpenditureProgressGap
619013,,2026-05-01,0.791549,1,NoProgress,0.523119,Agency_NHIDCL,0.467398,ProgressVelocity,0.460732,Physical Progress,-0.284032,RobustCurrentGap,0.269824,NoProgress; Agency_NHIDCL; ProgressVelocity
618465,,2026-04-01,0.690435,1,Agency_National Highways Authority of India [NHAI],0.708367,ProgressVelocity,-0.378041,CurrentExpenditureRatio,0.286994,OriginalCost,-0.245401,Expenditure,0.239457,Agency_National Highways Authority of India [NHAI]; CurrentExpenditureRatio; Expenditure
