ProjectCode,ProjectName,ReportMonth,ActualOutcome,PredictedTimeRisk,Feature,SHAPValue,Impact,Rank
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,categorical__Agency_National Thermal Power Corporation [NTPC],1.118716,Increases Risk,1
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,categorical__Agency_Power Grid Corporation of India Limited [POWERGRID],-0.835304,Decreases Risk,2
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,numeric__CurrentExpenditureRatio,-0.691685,Decreases Risk,3
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,categorical__Agency_National Highways Authority of India [NHAI],0.674051,Increases Risk,4
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,categorical__Agency_NHAI,0.590012,Increases Risk,5
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,numeric__ProgressScheduleGap,-0.508466,Decreases Risk,6
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,categorical__Agency_Ministry of Housing & Urban Affairs,0.449217,Increases Risk,7
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,categorical__Agency_Western Coalfields Limited [WCL],0.325025,Increases Risk,8
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,categorical__Agency_Steel Authority of India Limited [SAIL],0.284685,Increases Risk,9
400103,Indiramma Flood Flow Canal Project,2026-04,0,0.0299,categorical__State_Maharashtra,-0.280961,Decreases Risk,10
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,numeric__Prev_Expenditure,-1.057693,Decreases Risk,1
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,categorical__Agency_National Thermal Power Corporation [NTPC],0.951551,Increases Risk,2
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,categorical__Agency_Power Grid Corporation of India Limited [POWERGRID],-0.787114,Decreases Risk,3
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,numeric__CurrentExpenditureRatio,-0.724449,Decreases Risk,4
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,numeric__Prev_RevisedCost,-0.6071,Decreases Risk,5
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,categorical__Agency_Western Coalfields Limited [WCL],0.598421,Increases Risk,6
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,categorical__Agency_National Highways Authority of India [NHAI],0.579212,Increases Risk,7
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,numeric__ProgressScheduleGap,-0.509322,Decreases Risk,8
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,categorical__Agency_NHAI,0.35741,Increases Risk,9
400103,Indiramma Flood Flow Canal Project,2026-05,0,0.0031,categorical__Agency_Ministry of Housing & Urban Affairs,0.346601,Increases Risk,10
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04,0,0.2583,categorical__Agency_National Thermal Power Corporation [NTPC],0.968502,Increases Risk,1
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04,0,0.2583,categorical__Agency_Power Grid Corporation of India Limited [POWERGRID],-0.958935,Decreases Risk,2
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04,0,0.2583,categorical__Agency_NHAI,0.727066,Increases Risk,3
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04,0,0.2583,categorical__Agency_Ministry of Housing & Urban Affairs,0.550341,Increases Risk,4
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04,0,0.2583,categorical__Agency_National Highways Authority of India [NHAI],0.492417,Increases Risk,5
400121,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",2026-04,0,0.2583,categorical__Agency_Steel Authority of India Limited [SAIL],0.347114,Increases Risk,6
