feature,mean_abs_shap
categorical__Agency_National Thermal Power Corporation [NTPC],1.1122413
categorical__Agency_Power Grid Corporation of India Limited [POWERGRID],0.90265006
categorical__Agency_NHAI,0.5485276
categorical__Agency_Ministry of Housing & Urban Affairs,0.49950147
categorical__Agency_National Highways Authority of India [NHAI],0.491519
categorical__Agency_Western Coalfields Limited [WCL],0.39379454
categorical__Agency_Steel Authority of India Limited [SAIL],0.32410088
"categorical__State_Jammu andKashmir",0.30734834
"categorical__State_Multi-States(Bihar, Jharkhand)",0.25504956
"categorical__State_Multi-States (UttarPradesh,Uttarakhand)",0.25331262
categorical__State_Sikkim,0.25017127
numeric__PlannedDurationDays,0.23203188
categorical__State_Karnataka,0.2276173
numeric__ProgressVelocity,0.19325766
categorical__CurrentScheduleStatus_ModeratelyOverdue,0.19260389
categorical__State_Assam,0.19084838
categorical__State_West Bengal,0.18927553
categorical__State_Bihar,0.18215017
categorical__State_Manipur,0.1610352
categorical__State_Maharashtra,0.15806527
categorical__Agency_Airport Authority of India [AAI],0.15579908
numeric__Prev_Expenditure,0.15069105
numeric__Physical Progress,0.13151523
numeric__Expenditure,0.13087834
numeric__Prev_RevisedCost,0.13084388
numeric__ExpenditureChange,0.12984544
numeric__ProgressScheduleGap,0.124113925
numeric__CurrentScheduleDelayDays,0.10689644
"categorical__State_Multi-States(Andhra Pradesh,Tamil Nadu)",0.10330005
numeric__Prev_OriginalCost,0.10314887
numeric__CurrentExpenditureRatio,0.09423041
numeric__OriginalCost,0.09410553
categorical__State_Kerala,0.08544415
categorical__State_Tamil Nadu,0.08318884
categorical__State_Odisha,0.08221922
numeric__ProjectAgeDays,0.080224685
categorical__State_Andhra Pradesh,0.074047774
numeric__Prev_ProgressRemaining,0.07291946
categorical__CurrentScheduleStatus_SlightlyOverdue,0.071473755
numeric__Prev_ExpenditureRatio,0.07120726
numeric__RevisedCost,0.06790152
numeric__RobustCurrentExpenditurePct,0.063982464
categorical__Agency_MoRTH,0.058607575
categorical__State_Rajasthan,0.055952545
numeric__ElapsedDays,0.055343397
categorical__State_Telangana,0.05358199
categorical__State_Tripura,0.053185984
categorical__State_Punjab,0.052188333
numeric__Prev_RobustExpenditurePct,0.052030418
categorical__State_Jharkhand,0.047305953
categorical__Agency_National Mission for Clean Ganga,0.0455581
categorical__Agency_NHIDCL,0.044308715
categorical__State_Madhya Pradesh,0.042559728
numeric__Prev_PhysicalProgress,0.042103928
categorical__Agency_Ministry of Petroleum & Natural Gas,0.041533917
numeric__HasPreviousRevisedDoc,0.03574798
numeric__RemainingPlannedDays,0.034246337
numeric__ScheduleElapsedRatio,0.03202023
categorical__State_Chhattisgarh,0.029413437
categorical__State_Nagaland,0.025200948
categorical__State_Gujarat,0.022582792
categorical__State_Uttarakhand,0.019702444
numeric__HasPreviousRevisedCost,0.019695407
categorical__State_Mizoram,0.01737735
categorical__State_Uttar Pradesh,0.017018694
numeric__DateInconsistencyFlag,0.0099360915
numeric__missingindicator_Prev_Expenditure,0.007149564
categorical__State_Himachal Pradesh,0.0050015063
categorical__Agency_THDC India Limited,0.0
categorical__Agency_Southern Railway [SR] - I,0.0
categorical__Agency_South Western Railway [SWR] - II,0.0
categorical__Agency_South Eastern Railway [SER] - I,0.0
categorical__Agency_South Eastern Railway - JH,0.0
numeric__missingindicator_ProjectAgeDays,0.0
categorical__State_Haryana,0.0
categorical__State_Goa,0.0
categorical__State_Delhi,0.0
categorical__State_Arunachal Pradesh,0.0
"categorical__State_Andaman &Nicobar",0.0
categorical__CurrentScheduleStatus_WithinPlan,0.0
categorical__CurrentScheduleStatus_SeverelyOverdue,0.0
numeric__missingindicator_ScheduleDelayChangeDays,0.0
numeric__missingindicator_CostGrowth,0.0
numeric__missingindicator_ExpenditureChange,0.0
numeric__missingindicator_Prev_RobustExpenditurePct,0.0
"categorical__State_Multi-States(Assam,Meghalaya)",0.0
"categorical__State_Multi-States(ArunachalPradesh, Sikkim)",0.0
"categorical__State_Multi-States(ArunachalPradesh, Assam,Manipur,Meghalaya,Mizoram,Nagaland, Sikkim,Tripura, WestBengal)",0.0
"categorical__State_Multi-States(ArunachalPradesh, Assam)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Telangana)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Odisha)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Karnataka)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Chhattisgarh,Odisha)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Chhattisgarh,Jharkhand,Maharashtra,Odisha)",0.0
"categorical__State_Multi-States(Andhra Pradesh,Bihar,Chhattisgarh,Jharkhand,Madhya Pradesh,Maharashtra,Odisha,Telangana, UttarPradesh, WestBengal)",0.0
categorical__State_Meghalaya,0.0
categorical__State_Ladakh,0.0
"categorical__State_Multi-States(Gujarat, MadhyaPradesh)",0.0
"categorical__State_Multi-States(Gujarat, Haryana,Rajasthan)",0.0
"categorical__State_Multi-States(Gujarat, Haryana,Punjab,Rajasthan)",0.0
"categorical__State_Multi-States(Gujarat,Rajasthan)",0.0
"categorical__State_Multi-States(Gujarat,Maharashtra)",0.0
"categorical__State_Multi-States(Dadra & NagarHaveli and Daman& Diu, Gujarat,Maharashtra)",0.0
"categorical__State_Multi-States(Chhattisgarh,Odisha)",0.0
"categorical__State_Multi-States(Chhattisgarh,Maharashtra)",0.0
"categorical__State_Multi-States(Bihar, WestBengal)",0.0
"categorical__State_Multi-States(Bihar, UttarPradesh)",0.0
"categorical__State_Multi-States(Bihar, Odisha,West Bengal)",0.0
"categorical__State_Multi-States(Bihar, MadhyaPradesh,Rajasthan, UttarPradesh)",0.0
"categorical__State_Multi-States(Bihar, Delhi,Jharkhand, UttarPradesh, WestBengal)",0.0
"categorical__State_Multi-States(Assam, Manipur,Meghalaya,Mizoram,Nagaland, Tripura)",0.0
"categorical__State_Multi-States(Assam, Bihar,Jharkhand,Odisha, WestBengal)",0.0
"categorical__State_Multi-States(Assam,Nagaland)",0.0
"categorical__State_Multi-States(Karnataka,Maharashtra,Telangana, UttarPradesh)",0.0
"categorical__State_Multi-States(Karnataka,Maharashtra)",0.0
"categorical__State_Multi-States(Karnataka,Kerala, TamilNadu)",0.0
"categorical__State_Multi-States(Karnataka,Kerala)",0.0
"categorical__State_Multi-States(Jharkhand, WestBengal)",0.0
"categorical__State_Multi-States(Jharkhand, UttarPradesh)",0.0
"categorical__State_Multi-States(Jharkhand,Odisha)",0.0
"categorical__State_Multi-States(Jammu andKashmir, Punjab)",0.0
"categorical__State_Multi-States(HimachalPradesh, Punjab)",0.0
"categorical__State_Multi-States(HimachalPradesh,Uttarakhand)",0.0
"categorical__State_Multi-States(Haryana, UttarPradesh)",0.0
"categorical__State_Multi-States(Haryana, Punjab,Rajasthan)",0.0
"categorical__State_Multi-States(Haryana, Punjab)",0.0
"categorical__State_Multi-States(Haryana,Rajasthan)",0.0
"categorical__State_Multi-States(Haryana,Himachal Pradesh)",0.0
"categorical__State_Multi-States(Gujarat, MadhyaPradesh, UttarPradesh)",0.0
"categorical__State_Multi-States (Delhi,Haryana)",0.0
"categorical__State_Multi-States (Delhi,Gujarat, MadhyaPradesh,Maharashtra,Rajasthan)",0.0
"categorical__State_Multi-States(Sikkim, WestBengal)",0.0
"categorical__State_Multi-States(Rajasthan, UttarPradesh)",0.0
"categorical__State_Multi-States(Punjab,Rajasthan)",0.0
"categorical__State_Multi-States(Puducherry, TamilNadu)",0.0
"categorical__State_Multi-States(Odisha, WestBengal)",0.0
"categorical__State_Multi-States(Maharashtra,Telangana)",0.0
"categorical__State_Multi-States(Madhya Pradesh,Uttar Pradesh)",0.0
"categorical__State_Multi-States(Madhya Pradesh,Rajasthan, UttarPradesh)",0.0
"categorical__State_Multi-States(Madhya Pradesh,Rajasthan)",0.0
"categorical__State_Multi-States(Madhya Pradesh,Maharashtra)",0.0
"categorical__State_Multi-States(Kerala, TamilNadu)",0.0
"categorical__State_Multi-States(Kerala,Puducherry)",0.0
"categorical__State_Multi-States(Karnataka, TamilNadu)",0.0
"categorical__State_Multi-States(Karnataka,Telangana)",0.0
categorical__Agency_Adani Transmission Limited,0.0
categorical__State_Puducherry,0.0
categorical__State_PAN India,0.0
categorical__State_Offshore,0.0
"categorical__State_Multi-States (UttarPradesh, WestBengal)",0.0
"categorical__State_Multi-States (Delhi,Uttar Pradesh)",0.0
"categorical__State_Multi-States (Delhi,Rajasthan)",0.0
categorical__Agency_Central Railway [CR] - II,0.0
categorical__Agency_Central Railway,0.0
categorical__Agency_CSPCC Projects,0.0
categorical__Agency_CPM/ICF,0.0
categorical__Agency_CCL - CIL,0.0
categorical__Agency_CAO/C/SER,0.0
categorical__Agency_CAO/C/SECR,0.0
categorical__Agency_CAO/C/NR,0.0
categorical__Agency_CAO/C/NCR,0.0
categorical__Agency_CAO/C/II/NR,0.0
categorical__Agency_Bharat Petroleum Corporation Limited [BPCL],0.0
categorical__Agency_Bharat Coking Coal Limited [BCCL],0.0
categorical__Agency_Bengaluru Metro Rail,0.0
categorical__Agency_Banaras Hindu University,0.0
categorical__Agency_BSNL,0.0
categorical__Agency_BCCL,0.0
"categorical__Agency_Department of Water Resources, River Development,",0.0
"categorical__Agency_Department of Water Resources, River Development & GR",0.0
categorical__Agency_Department of Telecommunications [DoT],0.0
categorical__Agency_Department of Telecommunications,0.0
categorical__Agency_Department of Sports & Youth Affairs,0.0
categorical__Agency_Delhi University,0.0
categorical__Agency_Delhi Metro Rail Corporation Limited [DMRC],0.0
categorical__Agency_Deendayal Port Trust [DPT],0.0
categorical__Agency_Deendayal Port Trust,0.0
categorical__Agency_Damodar Valley Corporation,0.0
categorical__Agency_Construction NER,0.0
categorical__Agency_Chennai Petroleum Corporation Limited [CPCL],0.0
categorical__Agency_Chennai Metro Rail Limited [CMRL],0.0
categorical__Agency_CentralRailway,0.0
categorical__Agency_Central University of Punjab,0.0
categorical__Agency_Central Tribal University of Andhra Pradesh,0.0
categorical__Agency_Hindustan Petroleum Corporation Limited [HPCL],0.0
categorical__Agency_Hindustan Petroleum Corporation Limited,0.0
categorical__Agency_Hindustan Copper Limited [HCL],0.0
categorical__Agency_Gurugram Metro Rail Limited [GMRL],0.0
categorical__Agency_Gujarat Metro Rail Corporation Limited [GMRCL],0.0
categorical__Agency_Gas Authority of India Limited [GAIL],0.0
categorical__Agency_GM/C/ NFR,0.0
categorical__Agency_Employee's State Insurance Company [ESIC],0.0
categorical__Agency_Eastern Railway [ER] - I,0.0
categorical__Agency_Eastern Coal Fields Limited [ECL],0.0
categorical__Agency_East Coast Railway [ECoR] - II,0.0
categorical__Agency_East Central Railway [ECR] - I,0.0
categorical__Agency_ECL - CIL,0.0
categorical__Agency_Department of water resources-MH - II,0.0
categorical__Agency_Department of Water Resources-PB,0.0
categorical__Agency_Department of Water Resources-JH,0.0
categorical__Agency_Irrigation & Water Resources-UP,0.0
"categorical__Agency_Indian intitue of Management, Amritsar",0.0
